EventDateId,PlayerName,Position,Team,Opp,Minutes,ThreePt,Pts,Rebounds,Assists,Steals,Blocks,Usage,Turnovers,Doubles
20210301,Evan Fournier,SG,ORL,DAL,32.3,2.7,19.7,3.2,4.4,1.2,0.3,25.24,2.1,1
20210301,Facundo Campazzo,PG,DEN,CHI,0,0,0,0,0,0,0,0,0,0
20210301,Furkan Korkmaz,SG,PHI,IND,19.5,1.8,8.8,2.5,1.1,0.5,0.1,19.55,0.9,0
20210301,Garrett Temple,SG,CHI,DEN,31.2,1.7,9.6,3.5,2,0.9,0.6,14.18,1.1,0
20210301,Gary Clark,PF,ORL,DAL,11.2,0.6,2.4,2.2,0.4,0.2,0.2,10.19,0.3,0
20210301,Gary Trent,SG,POR,CHA,34.8,3.4,18.2,2.4,1.9,1,0.2,20.05,0.8,1
20210301,Georges Niang,PF,UTA,NOP,12.2,1.2,5.2,1.8,0.6,0.3,0.1,16.78,0.5,0
20210301,Goga Bitadze,C,IND,PHI,12.4,0.3,5.3,2.7,0.4,0.3,1,18.41,0.7,0
20210301,Gordon Hayward,SF,CHA,POR,0,0,0,0,0,0,0,0,0,0
20210301,Grant Riller,SG,CHA,POR,0,0,0,0,0,0,0,0,0,0
20210301,Greg Whittington,SF,DEN,CHI,0,0,0,0,0,0,0,0,0,0
20210301,Guillermo Hernangomez,C,NOP,UTA,19.2,0.2,8.3,6.9,1.4,0.4,0.5,18.44,1,0
20210301,Iman Shumpert,SG,BKN,SAS,0,0,0,0,0,0,0,0,0,0
20210301,Isaac Okoro,SF,CLE,HOU,30.2,0.8,8.1,3.2,2,1,0.6,13.88,1.4,0
20210301,Isaiah Hartenstein,C,DEN,CHI,11.2,0.1,4.3,3.2,0.8,0.5,0.6,17.36,0.8,0
20210301,Isaiah Joe,PG,PHI,IND,0,0,0,0,0,0,0,0,0,0
20210301,Jae'Sean Tate,SF,HOU,CLE,23.4,0.6,8.8,5.8,1.6,0.8,0.5,16,1.1,0
20210301,JaKarr Sampson,SF,IND,PHI,0,0,0,0,0,0,0,0,0,0
20210301,Jakob Poeltl,C,SAS,BKN,26.8,0,8.9,8.6,2.5,0.8,1.8,13.31,1.2,0
20210301,Jalen Brunson,PG,DAL,ORL,25.6,1.2,11.4,3.5,3.9,0.5,0,18.53,1.5,1
20210301,Jalen McDaniels,PF,CHA,POR,18.7,0.6,6.5,4.2,1.1,0.4,0.2,16.36,1.1,0
20210301,Jamal Murray,PG,DEN,CHI,38,2.8,23,4.6,5.1,1.2,0.3,24.66,2.4,1
20210301,James Harden,SG,BKN,SAS,37,3.1,28.6,8.7,9.9,1.1,0.8,28.89,4,1
20210301,James Johnson,PF,DAL,ORL,0,0,0,0,0,0,0,0,0,0
20210301,Jarrell Brantley,PF,UTA,NOP,0,0,0,0,0,0,0,0,0,0
20210301,Jarrett Allen,C,CLE,HOU,33.7,0,16.2,14.5,2.7,0.6,2.2,16.83,1.8,2
20210301,JaVale McGee,C,CLE,HOU,14.3,0,6.1,5.1,0.8,0.5,1.2,20.9,1.1,0
20210301,Jaxson Hayes,C,NOP,UTA,0,0,0,0,0,0,0,0,0,0
20210301,JJ Redick,SG,NOP,UTA,19.2,1.9,9,1.6,1.3,0.3,0.1,18.55,0.8,0
20210301,Joe Harris,SF,BKN,SAS,31,3,14.5,4,1.9,0.5,0.2,17.43,1,1
20210301,Joe Ingles,SF,UTA,NOP,25.6,2,10.5,3.3,4.6,0.5,0.2,15.1,1.6,1
20210301,Joel Embiid,C,PHI,IND,33.2,1.1,28.6,13,2.8,1.3,1.4,34.46,3.2,2
20210301,John Wall,PG,HOU,CLE,31.3,1.9,20.3,4,6.7,1.1,0.8,31.89,3.5,1
